pmid,id,arm_num,difficulty,feedback,group_1_dose,group_1_duration,group_1_intervention_name,group_1_intervention_type,group_1_route,group_1_sample_size,group_1_schedule,group_2_dose,group_2_duration,group_2_intervention_name,group_2_intervention_type,group_2_route,group_2_sample_size,group_2_schedule,group_3_dose,group_3_duration,group_3_intervention_name,group_3_intervention_type,group_3_route,group_3_sample_size,group_3_schedule,group_4_dose,group_4_duration,group_4_intervention_name,group_4_intervention_type,group_4_route,group_4_sample_size,group_4_schedule,group_5_dose,group_5_duration,group_5_intervention_name,group_5_intervention_type,group_5_route,group_5_sample_size,group_5_schedule,group_6_dose,group_6_duration,group_6_intervention_name,group_6_intervention_type,group_6_route,group_6_sample_size,group_6_schedule,group_7_dose,group_7_duration,group_7_intervention_name,group_7_intervention_type,group_7_route,group_7_sample_size,group_7_schedule,group_8_dose,group_8_duration,group_8_intervention_name,group_8_intervention_type,group_8_route,group_8_sample_size,group_8_schedule,over_eight_groups,share_duration,shared_duration_yn,shared_dose,shared_dose_yn,shared_intervention_name,shared_intervention_name_yn,shared_intervention_type,shared_intervention_type_yn,shared_route,shared_route_yn,shared_sample_size,shared_sample_size_yn,shared_schedule,shared_schedule_yn,orig__golden,abstract,pmid,title
347992,1824164382,two,4,,,,Beclomethasone dipropionate,Pharmacological,,,,,,control,Pharmacological,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,TRUE,na,TRUE,Beclomethasone dipropionate in pediatric perennial extrinsic rhinitis.,TRUE,Pharmacological,TRUE,na,TRUE,30,TRUE,na,TRUE,,"A double-blind, crossover trial of beclomethasone dipropionate intranasal aerosol was undertaken in 30 children suffering from long-term perennial extrinsic rhinitis refractive to conventional therapy with a success rate of 83%. There were no side effects. Maximum improvement was a seen a week after initiation of the active drug. Nasal blockage and rhinorrhoea were most responsive. It is suggested the beclomethasone dipropionate is an effective and safe treatment of children suffering from extrinsic perennial rhinitis.",347992,Beclomethasone dipropionate in pediatric perennial extrinsic rhinitis.
347992,1824312940,two,,,n/a,n/a,Beclomethasone dipropionate in pediatric perennial extrinsic rhinitis,Not Sure,n/a,,n/a,n/a,n/a,Beclomethasone dipropionate in pediatric perennial extrinsic rhinitis,Not Sure,n/a,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beclomethasone dipropionate in pediatric perennial extrinsic rhinitis,TRUE,,,,,30,TRUE,,,,"A double-blind, crossover trial of beclomethasone dipropionate intranasal aerosol was undertaken in 30 children suffering from long-term perennial extrinsic rhinitis refractive to conventional therapy with a success rate of 83%. There were no side effects. Maximum improvement was a seen a week after initiation of the active drug. Nasal blockage and rhinorrhoea were most responsive. It is suggested the beclomethasone dipropionate is an effective and safe treatment of children suffering from extrinsic perennial rhinitis.",347992,Beclomethasone dipropionate in pediatric perennial extrinsic rhinitis.
347992,1829141300,two,,,,,beclomethasone dipropionate intranasal aerosol,Pharmacological,intranasal,,,,,NA,Pharmacological,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,TRUE,NA,TRUE,,,,,,,30,TRUE,NA,TRUE,,"A double-blind, crossover trial of beclomethasone dipropionate intranasal aerosol was undertaken in 30 children suffering from long-term perennial extrinsic rhinitis refractive to conventional therapy with a success rate of 83%. There were no side effects. Maximum improvement was a seen a week after initiation of the active drug. Nasal blockage and rhinorrhoea were most responsive. It is suggested the beclomethasone dipropionate is an effective and safe treatment of children suffering from extrinsic perennial rhinitis.",347992,Beclomethasone dipropionate in pediatric perennial extrinsic rhinitis.
766905,1824222508,two,4,,,,BCG,Pharmacological,,21,,,,control,Pharmacological,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,TRUE,na,TRUE,Failure of BCG immunostimulation to affect the clinical course of Burkitt's lymphoma.,TRUE,Pharmacological,TRUE,na,TRUE,,,na,TRUE,,"A controlled randomised trial was carried out to evaluate the efficacy of BCG immunotherapy in preventing relapse in patients with Burkitt's lymphoma in whom remission had been induced with cyclophosphamide. Twenty-one patients were treated with BCG, and 19 were controls. Eleven patients in each group relapsed during a follow-up period long enough to make it unlikely that further relapses would occur. There were no significant differences in the length of remission or the site of relapse that could be attributed to treatment. Eleven patients died: of these none of the six patients in the BCG group but all of the five in the control group had stage D lymphomas. BCG treatment increased the rate of recovery from tumour-induced immunosuppression, but within the BCG group immunocompetence improved most rapidly in the patients who relapsed-a finding that appears to contradict the tenet retionalising the use of immunological adjuvants as treatment.",766905,Failure of BCG immunostimulation to affect the clinical course of Burkitt's lymphoma.
766905,1825026771,two,4,,,,BCG immunostimulation,Not Sure,,,,,,BCG immunostimulation,Not Sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,TRUE,n/a,TRUE,BCG immunostimulation,TRUE,Not Sure,TRUE,n/a,TRUE,40,TRUE,n/a,TRUE,,"A controlled randomised trial was carried out to evaluate the efficacy of BCG immunotherapy in preventing relapse in patients with Burkitt's lymphoma in whom remission had been induced with cyclophosphamide. Twenty-one patients were treated with BCG, and 19 were controls. Eleven patients in each group relapsed during a follow-up period long enough to make it unlikely that further relapses would occur. There were no significant differences in the length of remission or the site of relapse that could be attributed to treatment. Eleven patients died: of these none of the six patients in the BCG group but all of the five in the control group had stage D lymphomas. BCG treatment increased the rate of recovery from tumour-induced immunosuppression, but within the BCG group immunocompetence improved most rapidly in the patients who relapsed-a finding that appears to contradict the tenet retionalising the use of immunological adjuvants as treatment.",766905,Failure of BCG immunostimulation to affect the clinical course of Burkitt's lymphoma.
766905,1830858953,two,3,,,,BCG immunotherapy,Not Sure,,21,,,,None,No Active Treatment,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,TRUE,Unknown,TRUE,,,,,Unknown,TRUE,,,Unknown,TRUE,,"A controlled randomised trial was carried out to evaluate the efficacy of BCG immunotherapy in preventing relapse in patients with Burkitt's lymphoma in whom remission had been induced with cyclophosphamide. Twenty-one patients were treated with BCG, and 19 were controls. Eleven patients in each group relapsed during a follow-up period long enough to make it unlikely that further relapses would occur. There were no significant differences in the length of remission or the site of relapse that could be attributed to treatment. Eleven patients died: of these none of the six patients in the BCG group but all of the five in the control group had stage D lymphomas. BCG treatment increased the rate of recovery from tumour-induced immunosuppression, but within the BCG group immunocompetence improved most rapidly in the patients who relapsed-a finding that appears to contradict the tenet retionalising the use of immunological adjuvants as treatment.",766905,Failure of BCG immunostimulation to affect the clinical course of Burkitt's lymphoma.
807952,1824199926,two,4,,,,Methotrexate,Pharmacological,,,,,,radiation therapy,Pharmacological,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 year,TRUE,na,TRUE,Methotrexate and radiation therapy in the treatment of advanced head and neck tumors.,TRUE,Pharmacological,TRUE,na,TRUE,96,TRUE,na,TRUE,,Ninety-six patients with advanced squamous cell carcinoma of the head and neck were randomized to treatment with intravenous methotrexate followed by radical irradiation or radiotherapy alone. No significant differences were demonstrated in local disease control or actuarial survival rates at three and five years. Some patients with local treatment failure were surgically salvaged.,807952,Methotrexate and radiation therapy in the treatment of advanced head and neck tumors.
807952,1824415847,two,5,,n/a,,Methotrexate,Not Sure,n/a,,n/a,n/a,,Methotrexate,Not Sure,n/a,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 years,TRUE,,,Methotrexate,TRUE,,,,,96,TRUE,,,,Ninety-six patients with advanced squamous cell carcinoma of the head and neck were randomized to treatment with intravenous methotrexate followed by radical irradiation or radiotherapy alone. No significant differences were demonstrated in local disease control or actuarial survival rates at three and five years. Some patients with local treatment failure were surgically salvaged.,807952,Methotrexate and radiation therapy in the treatment of advanced head and neck tumors.
807952,1830360559,two,4,,,,Methotrexate followed by radical irradiation,Not Sure,Intravenous,,,,,Radiation,Not Sure,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,TRUE,Unknown,TRUE,,,,,,,Unknown,TRUE,Unknown,TRUE,,Ninety-six patients with advanced squamous cell carcinoma of the head and neck were randomized to treatment with intravenous methotrexate followed by radical irradiation or radiotherapy alone. No significant differences were demonstrated in local disease control or actuarial survival rates at three and five years. Some patients with local treatment failure were surgically salvaged.,807952,Methotrexate and radiation therapy in the treatment of advanced head and neck tumors.
1683365,1824150743,two,4,,,,CPAP,Pharmacological,,,,,,control,Pharmacological,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 hours,TRUE,NA,TRUE,The efficacy of early continuous positive airway pressure therapy in patients with acute cardiogenic pulmonary edema.,TRUE,Pharmacological,TRUE,NA,TRUE,80,TRUE,NA,TRUE,,"Although continuous positive airway pressure (CPAP) therapy using a face mask is known to improve oxygenation, the intrapulmonary shunt reduction remains unsettled. Our study was designed to explore this issue. From 1985 to 1987 80 patients with acute cardiogenic pulmonary edema were randomly chosen to receive either serial CPAP therapy or high-flow face mask oxygen therapy without CPAP (control) for the purpose of evaluating the efficacy of CPAP therapy. After screening for exclusion, only 55 patients were included in the first 3-hour investigation period. PaO2 in the CPAP group showed a significant increase by the end of the initial study; whereas intrapulmonary shunt and alveolar-arterial oxygen tension gradient AaDO2 revealed simultaneously a significant reduction. Conversely, neither PaO2 nor intrapulmonary shunt (or AaDO2) in the control group demonstrated any significant beneficial changes. As for cardiovascular function, only the CPAP therapy achieved a significant reduction in rate pressure product in contrast to the control (face mask) therapy alone. In terms of therapeutic failure, 10 patients in the control group failed. However, in the CPAP group only 5 patients had failed at the end of the first 3-hour study period. Overall, the cumulative therapeutic failure rate was 28% in the CPAP group and 60% in the control group during a 6-hour observation study. However, there was no significant difference between the two groups in 24-hour hospital mortality.(ABSTRACT TRUNCATED AT 250 WORDS)",1683365,The efficacy of early continuous positive airway pressure therapy in patients with acute cardiogenic pulmonary edema.
