pmid,abstract,arm_num_gold,share_duration,shared_duration_yn,shared_dose,shared_dose_yn,shared_intervention_name,shared_intervention_name_yn,shared_intervention_type,shared_intervention_type_yn,shared_route,shared_route_yn,shared_sample_size,shared_sample_size_yn,shared_schedule,shared_schedule_yn,group_1_dose,group_1_duration,group_1_intervention_name,group_1_intervention_type,group_1_route,group_1_sample_size,group_1_schedule,group_2_dose,group_2_duration,group_2_intervention_name,group_2_intervention_type,group_2_route,group_2_sample_size,group_2_schedule,group_3_dose,group_3_duration,group_3_intervention_name,group_3_intervention_type,group_3_route,group_3_sample_size,group_3_schedule,group_4_dose,group_4_duration,group_4_intervention_name,group_4_intervention_type,group_4_route,group_4_sample_size,group_4_schedule,group_5_dose,group_5_duration,group_5_intervention_name,group_5_intervention_type,group_5_route,group_5_sample_size,group_5_schedule,group_6_dose,group_6_duration,group_6_intervention_name,group_6_intervention_type,group_6_route,group_6_sample_size,group_6_schedule,group_7_dose,group_7_duration,group_7_intervention_name,group_7_intervention_type,group_7_route,group_7_sample_size,group_7_schedule,group_8_dose,group_8_duration,group_8_intervention_name,group_8_intervention_type,group_8_route,group_8_sample_size,group_8_schedule,over_eight_groups,title
347992,"A double-blind, crossover trial of beclomethasone dipropionate intranasal aerosol was undertaken in 30 children suffering from long-term perennial extrinsic rhinitis refractive to conventional therapy with a success rate of 83%. There were no side effects. Maximum improvement was a seen a week after initiation of the active drug. Nasal blockage and rhinorrhoea were most responsive. It is suggested the beclomethasone dipropionate is an effective and safe treatment of children suffering from extrinsic perennial rhinitis.",two ,a week,TRUE,,,,,Pharmacological,TRUE,,,60,TRUE,,,,,beclomethasone dipropionate,,intranasal aerosol ,,,,,placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766905,"A controlled randomised trial was carried out to evaluate the efficacy of BCG immunotherapy in preventing relapse in patients with Burkitt's lymphoma in whom remission had been induced with cyclophosphamide. Twenty-one patients were treated with BCG, and 19 were controls. Eleven patients in each group relapsed during a follow-up period long enough to make it unlikely that further relapses would occur. There were no significant differences in the length of remission or the site of relapse that could be attributed to treatment. Eleven patients died: of these none of the six patients in the BCG group but all of the five in the control group had stage D lymphomas. BCG treatment increased the rate of recovery from tumour-induced immunosuppression, but within the BCG group immunocompetence improved most rapidly in the patients who relapsed-a finding that appears to contradict the tenet retionalising the use of immunological adjuvants as treatment.",two,,,,,,,Pharmacological,TRUE,,,,,,,,,BCG immunotherapy,,,21,,,,control,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807952,Ninety-six patients with advanced squamous cell carcinoma of the head and neck were randomized to treatment with intravenous methotrexate followed by radical irradiation or radiotherapy alone. No significant differences were demonstrated in local disease control or actuarial survival rates at three and five years. Some patients with local treatment failure were surgically salvaged.,two,,,,,radical irradiation,TRUE,,,,,96,TRUE,,,,,methotrexate,Pharmacological,intravenous,,,,,control,Radiotherapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683365,"Although continuous positive airway pressure (CPAP) therapy using a face mask is known to improve oxygenation, the intrapulmonary shunt reduction remains unsettled. Our study was designed to explore this issue. From 1985 to 1987 80 patients with acute cardiogenic pulmonary edema were randomly chosen to receive either serial CPAP therapy or high-flow face mask oxygen therapy without CPAP (control) for the purpose of evaluating the efficacy of CPAP therapy. After screening for exclusion, only 55 patients were included in the first 3-hour investigation period. PaO2 in the CPAP group showed a significant increase by the end of the initial study; whereas intrapulmonary shunt and alveolar-arterial oxygen tension gradient AaDO2 revealed simultaneously a significant reduction. Conversely, neither PaO2 nor intrapulmonary shunt (or AaDO2) in the control group demonstrated any significant beneficial changes. As for cardiovascular function, only the CPAP therapy achieved a significant reduction in rate pressure product in contrast to the control (face mask) therapy alone. In terms of therapeutic failure, 10 patients in the control group failed. However, in the CPAP group only 5 patients had failed at the end of the first 3-hour study period. Overall, the cumulative therapeutic failure rate was 28% in the CPAP group and 60% in the control group during a 6-hour observation study. However, there was no significant difference between the two groups in 24-hour hospital mortality.(ABSTRACT TRUNCATED AT 250 WORDS)",two,3-hour,TRUE,,,,,Medical Devices,TRUE,,,55,TRUE,,,,,continuous positive airway pressure (CPAP) therapy using a face mask,,,,,,,high-flow face mask oxygen therapy without CPAP (control) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853859,"To study the impact of dietary intervention on the plasma total and high density lipoprotein cholesterol (HDL cholesterol) levels in hypercholesterolemic men, the authors selected 80 male participants in a monitoring risk factor project carried out in Amsterdam, The Netherlands. These men had plasma total cholesterol levels of between 6.5 and 10.0 mmol/liter (between 251 and 387 mg/dl) and were randomly assigned to either the intervention (n = 39) or the control (n = 41) group. At the start of the intervention period, after 5 weeks, and after 26 weeks, both the intervention and the control groups were examined. This examination consisted of a measurement of height, weight, plasma total and HDL cholesterol, and a dietary interview. The intervention program consisted of a personalized dietary advice to the respondent, based on the report of the Netherlands Nutrition Council. The study took place between September 1987 and November 1988. Because of this intervention program, the plasma total and HDL cholesterol levels decreased. The difference in change in plasma total cholesterol between the intervention and control groups was 0.47 mmol/liter (18 mg/dl) after 5 weeks and 0.30 mmol/liter (12 mg/dl) after 26 weeks. For HDL cholesterol, a significant difference in change after 5 weeks disappeared after 26 weeks. The public health implications of the decrease in plasma total cholesterol are discussed.",two,26 weeks,TRUE,,,,,Behavioral,TRUE,,,,,,,,,dietary intervention,,,39,,,,control ,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049963,"Bacterial infection is a common complication after allogeneic bone marrow transplantation. It is related to the toxic effects of the conditioning regimen on mucosal surfaces, to bone marrow aplasia and to the prolonged lymphopenia with immune deficiency that lasts for several weeks after bone marrow transplantation. We have performed a prospective randomized study comparing two methods of prophylaxis. Group I (OA) received a combination of ofloxacin 400 mg/day and amoxicillin 20 g/day; group II (VTC) received the oral nonabsorbable antibiotics vancomycin 450 mg/day, tobramycin 450 mg/day and colistin 4.5.10(6) units daily, from day -15 to 15 days after discharge from laminar air flow (LAF) rooms. All patients were nursed in LAF rooms with a strict isolation procedure and sterile water and food. They were evaluated daily for clinical symptoms, and bacterial culture samples were taken from the throat, stools and blood twice weekly. Forty-four patients were randomized, 22 entered in group I (OA) and 22 in group II (VTC). There were no differences between the two groups in age (mean 33 years, range 11-54), sex, diagnosis and mean duration of agranulocytosis (21.8 days, range 10-49). Seven patients were excluded because of the selection of a resistant bacteria, 5 were in group I (OA), and 2 were in group II (VTC). The mean duration of fever was 9.2 +/- 7.1 days in group I (OA) and 13.7 +/- 6.8 days in group II (VTC; p = 0.05). There were no significant differences between the two groups in graft-versus-host disease.(ABSTRACT TRUNCATED AT 250 WORDS)",two ,,,,,laminar air flow (LAF) rooms,TRUE,Pharmacological,TRUE,,,,,daily,TRUE,"400 mg, 20 g",,a combination of ofloxacin and amoxicillin (OA) ,,,17,,"450 mg, 450 mg, 4.5.10(6) units",,"the oral nonabsorbable antibiotics vancomycin, tobramycin, colistin (VTC)  ",,oral,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2144115,"Twenty asthmatic children, aged 4 to 15 years, consisting of 14 boys and 6 girls, were studied during acute episodes of asthmatic attacks. A group of 10 children each received either inhaled terbutaline 0.5 mg or inhaled terbutaline 0.5 mg followed by ipratropium bromide 0.04 mg 15 minutes later through a 750-ml volumetric spacer. Significant increases in FEV1 over the baseline were observed from 2 minutes to 2 hours and from 2 minutes to 6 hours following the first and second regimen respectively. A slightly greater increase and longer duration in FEV1 were observed in the combined drug treatment and very slight decreases in systolic and diastolic blood pressure below the base-line were observed. Neither regimen showed any serious adverse effect on the heart rate and respiratory rate.",two,6 hours,TRUE,,,inhaled terbutaline  0.5 mg,TRUE,Pharmacological,TRUE,,,,,every three hours,TRUE,0.04 mg,,ipratropium bromide,,through a 750-ml volumetric spacer,10,15 minutes later,,,control,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201431,"Two treatment regimens for metastatic soft-tissue sarcomas were compared in a randomized trial in the cooperative group setting. Histopathologic diagnosis was affirmed by pathology reference panel review in 72% of the 347 patients. In 21% of patients, the reference panel affirmed the diagnosis of soft-tissue sarcoma but disagreed as to type; 7% of patients were ineligible based upon cell type. Of 298 patients evaluable, measurable tumor regression (partial or complete response) occurred in 17% of patients to doxorubicin (70 mg/m2 intravenously) and 18% of patients to doxorubicin (70 mg/m2 intravenously) and vindesine (3 mg/m2 intravenously), each given every 3 weeks. No difference existed in complete response (4% for doxorubicin, 6% for doxorubicin and vindesine) or median survival (9.4 months for doxorubicin, 9.9 months for doxorubicin and vindesine). Overall, 60% of those patients on doxorubicin and vindesine and 46% on doxorubicin experienced a severe or worse toxicity of treatment (P = 0.01). With greater toxicity and lack of any gains in efficacy, the results do not support use of the combination of doxorubicin and vindesine for metastatic soft-tissue sarcomas.",two,,,,,doxorubicin (70 mg/m2 intravenously) ,TRUE,Pharmacological,TRUE,intravenously,TRUE,298,TRUE,every 3 weeks,TRUE,3 mg,,vindesine ,,,,per m2,,,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2209318,"The aim of this study was to compare the effects of an intensive educational approach incorporating longer time, greater simplicity, repetition, and cognitive motivational techniques with a conventional one in subjects with established non-insulin-dependent diabetes mellitus (NIDDM) whose weight, glycemic control, and diet were not optimal. Subjects were randomly allocated to intensive or conventional education. Of 350 subjects, 70 met the study criteria, which included established NIDDM (greater than or equal to 3 mo), suboptimal recent glycemic control, dietary fat intake greater than or equal to 35% of total energy intake, and body mass index greater than or equal to 25 kg/m2. The intensive approach was associated with significantly greater improvements in dietary compliance, dietary intake (complex carbohydrate, [P = 0.013], legumes [P less than 0.0001], fiber [P less than 0.0001], total fat [P less than 0.004], saturated fat [P less than 0.004]), and total cholesterol level (P = 0.007). The transient improvement in glycemic control was similar in both groups. An intensive education program can improve dietary compliance in established NIDDM subjects more than a conventional one. These recommended dietary improvements achieve better improvement in total cholesterol but do not necessarily improve glycemic control.",two ,,,,,,,Educational,TRUE,,,70,TRUE,,,,,"an intensive educational approach incorporating longer time, greater simplicity, repetition, and cognitive motivational techniques",,,,,,,a conventional one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2344111,"To determine the effect of an outpatient program designed to reduce readmissions for asthma exacerbations among adults with asthma.<br /><br />Randomized patient selection with crossover.<br /><br />Bellevue Hospital, New York City, New York.<br /><br />We identified 104 adult asthmatics who had previously required multiple hospitalizations for asthma attacks. Forty-seven patients were randomly assigned to an intensive outpatient treatment clinic and 57 patients continued to receive their previous outpatient care. Nineteen patients from this latter group were then crossed to the intensive outpatient therapy clinic.<br /><br />Attenders of the intensive outpatient treatment program were treated with a vigorous medical regimen and educational program. Emphasis was placed on teaching patients aggressive self-management strategies in case of marked asthma exacerbation.<br /><br />The main measurement used to determine efficacy of the study program was readmission rate and hospital days used. Prospective comparison of treated compared with untreated patients indicated that program enrollment resulted in a threefold reduction in readmission rate and a twofold reduction in hospital day use rate (P less than 0.004 and P less than 0.02, respectively). Using retrospective data with patients serving as their own controls, we found a threefold reduction in readmission rate and in hospital day use (P less than 0.003) during a 32-month follow-up period. A similar magnitude of reduction in hospital utilization was found when patients were crossed over to the intensive treatment group (P less than 0.004).<br /><br />By using a vigorous medical regimen and intensive educational program, we were able to decrease hospital use among a group of adult asthmatics who had previously required repeated readmissions for acute asthma exacerbations.",two,,,,,,,Educational,TRUE,,,,,,,,,an intensive outpatient treatment clinic treated with a vigorous medical regimen and educational program,,,66,,,,previous outpatient care,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
